Crop,Disease,Symptoms,Cause,Season,Region,Organic_Remedy,Chemical_Remedy,Prevention
Wheat,Foot Rot,"Brown to dark brown lesions on crown and roots; white to pink fungal growth; lodging; white heads with shriveled grains",Fungal (Fusarium spp.),Rabi,"Punjab, Haryana, Uttar Pradesh, Bihar","Seed treatment with Trichoderma viride @ 4g/kg seed; Apply neem cake; FYM enriched with antagonists","Seed treatment with Carbendazim + Thiram @ 2g/kg seed; Soil drenching with Carbendazim","Crop rotation with non-cereals; Proper drainage; Balanced fertilization; Remove infected debris"
Maize,Turcicum Leaf Blight,"Long elliptical grayish-green or tan lesions on leaves; lesions join to cause leaf burning; premature death of leaves",Fungal (Exserohilum turcicum),Kharif,"Karnataka, Andhra Pradesh, Bihar, Himachal Pradesh, Uttarakhand","Spray Pseudomonas fluorescens @ 20g/L; Neem oil @ 3%; Panchagavya spray @ 3%","Mancozeb 75WP @ 2.5g/L; Zineb 75WP @ 2.5g/L; Propiconazole 25EC @ 1ml/L","Use resistant hybrids; Crop rotation; Remove crop debris; Balanced nutrition"
Maize,Maydis Leaf Blight,"Small tan spots with reddish-brown borders on leaves; rectangular lesions restricted by veins; leaves dry and appear burnt",Fungal (Bipolaris maydis),Kharif,"Karnataka, Tamil Nadu, Andhra Pradesh, Maharashtra, Rajasthan","Trichoderma harzianum @ 5g/L spray; Cow urine spray @ 10%; Vermiwash application","Carbendazim 50WP @ 1g/L; Mancozeb 75WP @ 2.5g/L; Captan 50WP @ 2g/L","Use tolerant varieties; Avoid water logging; Proper plant spacing; Destroy infected residues"
Maize,Common Rust,"Small circular to elongate brown pustules on both leaf surfaces; pustules turn dark brown to black; severe defoliation",Fungal (Puccinia sorghi),Kharif/Rabi,"Hilly regions of Himachal Pradesh, Uttarakhand, North-Eastern states","Sulfur dust @ 20kg/ha; Spray garlic extract @ 2%; Trichoderma application","Mancozeb 75WP @ 2.5g/L; Propiconazole 25EC @ 1ml/L; Tebuconazole @ 1ml/L","Early sowing; Use resistant varieties; Remove alternate hosts; Proper field sanitation"
Maize,Downy Mildew,"Chlorotic streaks on leaves; white downy growth on leaf underside; stunted plants; tassel malformation",Fungal (Peronosclerospora spp.),Kharif,"Karnataka, Tamil Nadu, Andhra Pradesh, Maharashtra","Seed treatment with Trichoderma @ 10g/kg; Spray neem oil @ 3%; Biocontrol agents","Seed treatment with Metalaxyl @ 6g/kg seed; Foliar spray of Metalaxyl + Mancozeb @ 2g/L","Use resistant hybrids; Rogue infected plants; Crop rotation; Seed treatment essential"
Maize,Stalk Rot,"Premature drying of plants; soft rot at nodes; plants lodge easily; pith disintegration; reduced grain filling",Fungal (Fusarium/Macrophomina),Kharif,"Punjab, Haryana, Uttar Pradesh, Rajasthan, Madhya Pradesh","Apply FYM enriched with Trichoderma; Potash application; Avoid water stress","Soil application of Carbendazim; Seed treatment with Thiram @ 3g/kg seed","Balanced fertilization; Proper irrigation; Avoid high plant density; Timely harvest"
Sugarcane,Red Rot,"Red discoloration with white patches in split stem; alcohol smell from infected cane; drooping and yellowing of leaves",Fungal (Colletotrichum falcatum),All seasons,"Uttar Pradesh, Bihar, Punjab, Tamil Nadu, Karnataka","Hot water treatment of setts at 50°C for 2 hours; Trichoderma treatment @ 10g/L; Biocontrol agents","Sett treatment with Carbendazim @ 0.1% for 15 minutes; Thiophanate methyl @ 0.1%","Use resistant varieties like CO-0238; Crop rotation; Remove infected plants; Proper drainage"
Sugarcane,Smut,"Black whip-like structure from growing point; stunted growth; thin canes; profuse tillering",Fungal (Ustilago scitaminea),All seasons,"Tamil Nadu, Karnataka, Maharashtra, Andhra Pradesh, Gujarat","Hot water treatment at 50°C for 2 hours; Sett treatment with Trichoderma; Lime application","Sett treatment with Propiconazole @ 0.1%; Carbendazim @ 0.1% for 15 minutes","Use disease-free seed material; Rogue infected clumps; Resistant varieties; Avoid ratooning infected crop"
Sugarcane,Grassy Shoot Disease,"Profuse tillering with thin tillers; leaves become narrow and pale; no cane formation",Phytoplasma,All seasons,"Uttar Pradesh, Bihar, Punjab, Haryana","Hot water treatment of setts; Rogue infected clumps; Control leafhopper vectors with neem","Control vectors with Imidacloprid @ 0.3ml/L; Thiamethoxam @ 0.2g/L","Use disease-free planting material; Control insect vectors; Remove infected plants promptly"
Sugarcane,Leaf Scald,"White pencil-line streak on leaves; scalded appearance; side shoots from nodes; wilting",Bacterial (Xanthomonas albilineans),All seasons,"Tamil Nadu, Karnataka, Andhra Pradesh, Maharashtra","Hot water treatment at 50°C; Sett treatment with antibacterial botanicals","Streptocycline @ 0.1g/L; Copper compounds for sett treatment","Use certified disease-free setts; Sanitize cutting tools; Resistant varieties"
Cotton,Cotton Leaf Curl Virus,"Upward/downward curling of leaves; vein thickening; enations on leaf underside; stunted growth",Viral (transmitted by whitefly),Kharif,"Punjab, Haryana, Rajasthan, Gujarat","Neem oil @ 3% for vector control; Yellow sticky traps; Barrier crops","Imidacloprid 600FS seed treatment @ 10ml/kg; Acetamiprid 20SP @ 0.2g/L for whitefly","Grow Bt cotton varieties; Control whitefly vectors; Remove infected plants; Avoid late sowing"
Cotton,Bacterial Blight,"Angular water-soaked spots on leaves; black arm on stem; boll rot with yellow bacterial ooze",Bacterial (Xanthomonas citri pv. malvacearum),Kharif,"Maharashtra, Gujarat, Andhra Pradesh, Tamil Nadu","Spray Pseudomonas fluorescens @ 20g/L; Copper-based organic fungicides; Neem extract","Streptocycline @ 0.1g/L + Copper oxychloride @ 3g/L; Bordeaux mixture 1%","Acid delinting of seeds; Use resistant varieties; Crop rotation; Remove infected debris"
Cotton,Wilt,"Yellowing and drooping of leaves; browning of vascular tissues; sudden wilting; plant death",Fungal (Fusarium oxysporum f.sp. vasinfectum),Kharif,"Tamil Nadu, Karnataka, Maharashtra, Madhya Pradesh","Seed treatment with Trichoderma viride @ 10g/kg; Apply neem cake @ 250kg/ha; FYM with bioagents","Carbendazim seed treatment @ 2g/kg; Soil drenching with Carbendazim @ 1g/L","Use wilt-resistant varieties; Crop rotation with non-hosts; Maintain soil pH; Summer plowing"
Cotton,Grey Mildew,"Angular lesions on leaves with grey fungal growth underneath; defoliation; reduced boll formation",Fungal (Ramularia areola),Kharif,"Central and South India - Maharashtra, Karnataka, Andhra Pradesh","Spray potassium bicarbonate @ 0.5%; Trichoderma spray @ 5g/L; Garlic extract","Carbendazim 50WP @ 1g/L; Propiconazole 25EC @ 1ml/L; Mancozeb @ 2.5g/L","Maintain proper spacing; Avoid excess nitrogen; Remove infected leaves; Balanced nutrition"
Soybean,Rust,"Small tan to dark brown pustules on leaf underside; yellowing and premature defoliation; reduced pod formation",Fungal (Phakopsora pachyrhizi),Kharif,"Madhya Pradesh, Maharashtra, Rajasthan, Karnataka","Spray sulfur @ 3kg/ha; Neem oil @ 1%; Trichoderma formulation @ 5g/L","Hexaconazole 5EC @ 1ml/L; Propiconazole 25EC @ 1ml/L; Azoxystrobin @ 1ml/L","Early sowing; Use tolerant varieties; Monitor and spray at first symptom; Destroy crop residues"
Soybean,Yellow Mosaic Virus,"Yellow patches between leaf veins; mottling; puckering of leaves; stunted plants; reduced pods",Viral (transmitted by whitefly),Kharif,"Madhya Pradesh, Maharashtra, Uttar Pradesh, Rajasthan","Neem oil @ 3% for whitefly control; Yellow sticky traps; Reflective mulches","Seed treatment with Thiamethoxam @ 3g/kg; Spray Imidacloprid @ 0.3ml/L for vectors","Use resistant varieties; Control whitefly; Early sowing; Remove infected plants"
Soybean,Charcoal Rot,"Reddish-brown discoloration at soil level; gray-black microsclerotia in stem; wilting; plant death",Fungal (Macrophomina phaseolina),Kharif,"Madhya Pradesh, Maharashtra, Rajasthan","Seed treatment with Trichoderma @ 10g/kg; Apply FYM; Maintain soil moisture","Seed treatment with Carbendazim @ 2g/kg; Thiram @ 3g/kg seed","Maintain optimum soil moisture; Crop rotation; Deep summer plowing; Organic matter addition"
Soybean,Bacterial Pustule,"Small pale green spots with raised centers on leaves; brown necrotic spots; premature leaf fall",Bacterial (Xanthomonas axonopodis),Kharif,"Madhya Pradesh, Maharashtra, Karnataka","Spray Pseudomonas @ 20g/L; Copper-based organic sprays; Neem extract","Streptocycline @ 0.1g/L + Copper oxychloride @ 2.5g/L","Use disease-free seeds; Crop rotation; Remove volunteer plants; Field sanitation"
Mango,Powdery Mildew,"White powdery growth on inflorescence, leaves and young fruits; flower drop; fruit drop; malformation",Fungal (Oidium mangiferae),All seasons (severe in Oct-March),"Uttar Pradesh, Bihar, Maharashtra, Andhra Pradesh, Tamil Nadu","Spray sulfur @ 3g/L; Neem oil @ 1%; Milk spray (1:9 ratio)","Carbendazim 50WP @ 1g/L; Tridemorph @ 1ml/L; Hexaconazole @ 1ml/L","Regular pruning; Remove malformed panicles; Three sprays during flowering; Maintain orchard sanitation"
Mango,Anthracnose,"Black necrotic spots on leaves, panicles, and fruits; blossom blight; fruit rot with dark spots",Fungal (Colletotrichum gloeosporioides),All seasons (severe in rainy season),"All mango growing regions","Spray Trichoderma @ 10g/L; Neem oil @ 3%; Hot water treatment of fruits (50°C for 5 min)","Carbendazim @ 1g/L; Copper oxychloride @ 3g/L; Thiophanate methyl @ 1g/L","Prune infected branches; Pre-harvest sprays; Post-harvest hot water treatment; Proper spacing"
Mango,Die Back,"Drying of twigs from top downwards; bark discoloration; gum exudation; complete death of branches",Fungal (Botryodiplodia theobromae),All seasons,"Uttar Pradesh, Bihar, Andhra Pradesh, Tamil Nadu, Karnataka","Prune affected branches 6 inches below infection; apply Chaubattia paste; neem oil spray","Carbendazim paste application on cut ends; copper fungicides","Avoid mechanical injuries; balanced fertilization; proper irrigation"
Mango,Malformation,"Compact bunchy growth of vegetative parts; thickened shoots; floral parts converted to leafy structures",Fungal (Fusarium moniliforme),Flowering season,"Northern India - UP, Bihar, Punjab, Haryana","Prune and burn malformed parts; apply neem cake @ 5kg/tree","Spray NAA @ 200ppm during October; carbendazim drenching","Use disease-free planting material; avoid water stress during flowering"
Banana,Panama Wilt,"Yellowing of lower leaves; splitting of pseudostem base; vascular discoloration; plant collapse",Fungal (Fusarium oxysporum),All seasons,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh","Use resistant varieties like Rashali; apply Trichoderma; solarization","Carbendazim soil drenching @ 0.1%; captan treatment","Use disease-free suckers; crop rotation; avoid water logging"
Banana,Sigatoka Leaf Spot,"Small yellow spots turning brown with gray centers; premature leaf drying; reduced bunch size",Fungal (Mycosphaerella musicola),High humidity periods,"Kerala, Tamil Nadu, Karnataka, Maharashtra","Spray neem oil @ 3%; proper spacing for air circulation","Chlorothalonil @ 2g/L; mancozeb @ 2.5g/L; propiconazole @ 1ml/L","Remove infected leaves; good drainage; balanced nutrition"
Banana,Bunchy Top Virus,"Dark green streaks on leaves; stunted growth; leaves bunched at top; no fruit formation",Viral (transmitted by aphids),All seasons,"All banana growing regions","Roguing infected plants; neem oil for aphid control","Imidacloprid @ 0.3ml/L for aphid control","Use tissue culture plants; vector control; regular monitoring"
Banana,Anthracnose,"Black sunken spots on fruits; pink spore masses; fruit rot during ripening",Fungal (Colletotrichum musae),Fruit development stage,"All banana growing regions","Hot water treatment of fruits (50°C for 5 minutes)","Carbendazim @ 1g/L spray; thiophanate methyl @ 1g/L","Proper sanitation; avoid fruit injury; timely harvest"
Tomato,Early Blight,"Dark brown concentric rings on older leaves; target board appearance; stem cankers",Fungal (Alternaria solani),All seasons,"All tomato growing regions","Neem oil spray @ 3%; Trichoderma application","Mancozeb @ 2.5g/L; chlorothalonil @ 2g/L","Crop rotation; remove infected debris; resistant varieties"
Tomato,Late Blight,"Water-soaked lesions on leaves turning brown; white fungal growth underside; fruit rot",Fungal (Phytophthora infestans),"Cool, humid weather","Hills of Himachal, Uttarakhand; winter in plains","Copper-based fungicides; proper spacing","Metalaxyl + mancozeb @ 2g/L; fosetyl-Al @ 2.5g/L","Avoid overhead irrigation; morning watering; resistant varieties"
Tomato,Bacterial Wilt,"Sudden wilting of plants; white bacterial ooze from cut stems; vascular browning",Bacterial (Ralstonia solanacearum),"Warm, moist conditions","Karnataka, Tamil Nadu, Maharashtra, Andhra Pradesh","Soil amendment with neem cake; biocontrol agents","Streptocycline soil drenching @ 0.1g/L","Soil solarization; crop rotation; resistant rootstocks"
Tomato,Leaf Curl Virus,"Upward curling of leaves; vein clearing; stunted growth; no fruit set",Viral (transmitted by whitefly),All seasons,"All tomato growing regions","Yellow sticky traps; neem oil for whitefly control","Imidacloprid @ 0.3ml/L; thiamethoxam @ 0.2g/L","Use virus-free seedlings; vector management; reflective mulches"
Potato,Late Blight,"Water-soaked spots on leaves with white mold; rapid blighting; tuber rot with brown discoloration",Fungal (Phytophthora infestans),"Cool, humid weather","West Bengal, Bihar, Punjab, Uttar Pradesh hills","Copper sprays; proper curing of tubers","Metalaxyl + mancozeb @ 2.5g/L; cymoxanil @ 2g/L","Use certified seeds; avoid overhead irrigation; resistant varieties"
Potato,Early Blight,"Dark brown concentric spots on leaves; target pattern; tuber lesions",Fungal (Alternaria solani),All seasons,"All potato growing regions","Neem extract; Trichoderma application","Mancozeb @ 2.5g/L; chlorothalonil @ 2g/L","Balanced fertilization; proper spacing; crop rotation"
Potato,Black Scurf,"Black crust-like sclerotia on tuber surface; canker on stems; stunted growth",Fungal (Rhizoctonia solani),All seasons,"Punjab, Uttar Pradesh, West Bengal, Karnataka","Soil solarization; Trichoderma treatment","Carbendazim seed treatment @ 2g/kg tubers","Use disease-free seeds; proper soil moisture; crop rotation"
Chickpea,Wilt,"Yellowing and wilting of plants; vascular browning; plant death in patches",Fungal (Fusarium oxysporum),Rabi,"Madhya Pradesh, Maharashtra, Rajasthan, Uttar Pradesh","Trichoderma seed treatment; resistant varieties","Carbendazim seed treatment @ 2g/kg","Crop rotation; well-drained soils; balanced nutrition"
Chickpea,Botrytis Gray Mold,"Water-soaked lesions on leaves; gray mold growth; pod rotting; flower drop",Fungal (Botrytis cinerea),"Rabi (cool, humid)","Northern plains and hills","Proper spacing; neem oil spray","Carbendazim @ 1g/L; iprodione @ 2ml/L","Avoid dense sowing; proper drainage; resistant varieties"
Chickpea,Rust,"Small, raised brown pustules on leaves and pods; premature leaf shedding; shriveled seeds",Fungal (Uromyces ciceris-arietini),Rabi,"Punjab, Haryana, UP, MP","Sulfur dust @ 20kg/ha; Cow urine spray","Mancozeb 75WP @ 2g/L; Propiconazole 25EC @ 1ml/L","Early sowing; Use resistant varieties; Remove crop debris"
Groundnut,Tikka Disease,"Circular brown spots with yellow halo on leaves; premature defoliation",Fungal (Cercospora spp.),Kharif,"Gujarat, Andhra Pradesh, Tamil Nadu, Karnataka","Neem oil spray; resistant varieties","Carbendazim @ 1g/L; mancozeb @ 2.5g/L","Crop rotation; field sanitation; balanced nutrition"
Groundnut,Collar Rot,"Water-soaked lesions at collar region; wilting; plant death",Fungal (Aspergillus niger),Kharif,"All groundnut growing regions","Trichoderma seed treatment; solarization","Carbendazim seed treatment @ 2g/kg","Proper seed storage; avoid deep sowing"
Groundnut,Rust,"Reddish-brown pustules on the lower leaf surface; severe defoliation",Fungal (Puccinia arachidis),Kharif,"Tamil Nadu, Karnataka, Maharashtra","Sulfur dust; Neem seed kernel extract","Hexaconazole @ 1ml/L; Mancozeb @ 2.5g/L","Grow tolerant varieties; Timely spraying; Destroy volunteer plants"
Mustard,Alternaria Leaf Spot,"Small dark spots on leaves, enlarging into concentric rings; stem cankers; pod spots",Fungal (Alternaria brassicae),Rabi,"Rajasthan, Uttar Pradesh, Haryana, MP","Neem oil @ 3%; Cow urine spray","Mancozeb @ 2.5g/L; Carbendazim @ 1g/L","Timely sowing; Balanced nitrogen; Remove crop debris"
Mustard,White Rust,"White or creamy-yellow pustules on leaves, stem, and inflorescence; staghead formation in flower parts",Fungal (Albugo candida),Rabi,"Punjab, Haryana, Rajasthan, UP","Copper-based organic sprays; Neem oil","Metalaxyl + Mancozeb @ 2g/L; Copper oxychloride @ 3g/L","Use resistant varieties; Deep summer plowing; Crop rotation"
Mustard,Downy Mildew,"Purplish-brown patches on the upper surface of leaves; white downy growth on the underside",Fungal (Peronospora parasitica),Rabi,"All mustard growing regions","Proper spacing; Neem seed kernel extract","Metalaxyl @ 2g/L; Mancozeb @ 2.5g/L","Maintain good drainage; Avoid overhead irrigation; Use certified seeds"
Chilli,Leaf Curl Virus,"Upward/downward curling of leaves; stunted growth; reduced flower and fruit set",Viral (transmitted by thrips/mites/whitefly),Kharif/Rabi,"Andhra Pradesh, Telangana, Maharashtra, Karnataka","Neem oil @ 3% for vector control; Yellow sticky traps","Imidacloprid @ 0.3ml/L; Thiamethoxam @ 0.2g/L","Use virus-free seedlings; Vector control; Maintain field sanitation"
Chilli,Die Back and Fruit Rot,"Drying of twigs from top (dieback); circular black spots on fruits that are sunken",Fungal (Colletotrichum capsici),Kharif/Rabi (wet season),"All chilli growing regions","Trichoderma spray @ 5g/L; Hot water treatment of seeds","Carbendazim @ 1g/L; Mancozeb @ 2.5g/L","Use disease-free seeds; Proper pruning; Timely harvest"
Chilli,Bacterial Leaf Spot,"Small, water-soaked, irregular spots on leaves; spots become brown/necrotic with yellow halo",Bacterial (Xanthomonas campestris pv. vesicatoria),Kharif/Rabi (wet season),"All chilli growing regions","Copper-based organic sprays; Sett treatment with neem extract","Streptocycline @ 0.1g/L + Copper oxychloride @ 3g/L","Use certified, treated seeds; Avoid overhead irrigation; Crop rotation"
